team,jersey,name,pos,games,age,college,mover,also,resolved
denver-broncos,65,Glenn Hyde,C,16,28,Pittsburgh,,,
denver-broncos,25,Haven Moses,WR,16,33,San Diego State,,,
denver-broncos,82,Jack Dolbin,WR,4,31,Wake Forest,,,
denver-broncos,30,Jim Jensen,RB,16,25,Iowa,,,
denver-broncos,50,Jim Ryan,LB,16,22,William & Mary,,,
denver-broncos,15,Jim Turner,K,16,38,Utah State,,,
denver-broncos,59,Joe Rizzo,LB,13,28,Merchant Marine,,,
denver-broncos,63,John Grant,DE,16,29,Southern California,,,
denver-broncos,32,Jon Keyworth,RB,16,28,Colorado,,,
denver-broncos,73,Kelvin Clark,OT,15,23,Nebraska,,,
denver-broncos,55,Ken Brown,C,16,25,New Mexico,,,
denver-broncos,75,Kit Lathrop,DE,11,23,Arizona State,yes,green-bay-packers:2,games
denver-broncos,35,Larry Canada,RB,16,24,Wisconsin,,,
denver-broncos,56,Larry Evans,LB,16,26,Mississippi College,,,
denver-broncos,20,Louis Wright,DB,16,26,San Jose State,,,
denver-broncos,11,Luke Prestridge,P,16,23,Baylor,,,
denver-broncos,14,Norris Weese,QB,16,28,Mississippi,,,
denver-broncos,24,Otis Armstrong,RB,15,28,Purdue,,,
denver-broncos,60,Paul Howard,OG,16,29,Brigham Young,,,
denver-broncos,53,Randy Gradishar,LB,16,27,Ohio State,,,
denver-broncos,80,Rick Upchurch,WR,16,27,Minnesota,,,
denver-broncos,88,Riley Odoms,TE,13,29,Houston,,,
denver-broncos,41,Rob Lytle,RB,15,24,Michigan,,,
denver-broncos,58,Rob Nairne,LB,10,25,Oregon State,,,
denver-broncos,85,Ron Egloff,TE,15,24,Wisconsin,,,
denver-broncos,68,Rubin Carter,DT,15,26,Miami,,,
denver-broncos,43,Steve Foley,DB,16,25,Tulane,,,
denver-broncos,81,Steve Watson,WR,16,22,Temple,,,
denver-broncos,62,Tom Glassic,OG,16,25,Virginia,,,
denver-broncos,57,Tom Jackson,LB,13,28,Louisville,,,
denver-broncos,84,Vince Kinney,WR,15,23,Maryland,,,
denver-broncos,31,Zachary Dixon,RB,8,23,Temple,yes,new-york-giants:3,games
detroit-lions,60,Al Baker,DE,16,22,Colorado State,,,
detroit-lions,65,Amos Fowler,C,12,23,Southern Mississippi,,,
detroit-lions,1,Benny Ricardo,K,16,25,San Diego State,,,
detroit-lions,36,Bo Robinson,RB,14,23,West Texas A&M,,,
detroit-lions,59,Charlie Weaver,LB,8,30,Southern California,,,
detroit-lions,72,Cleveland Elam,DT,8,27,Tennessee State,,,
detroit-lions,71,Dave Gallagher,DE,10,27,Michigan,,,
detroit-lions,44,Dave Parkin,DB,9,23,Utah State,,,
