round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
18,251,PHI,Tom Larscheid,B,,,0,0,0,,,Utah St.
18,252,GNB,Bob Joiner,QB,,,0,0,0,,,Presbyterian
19,253,WAS,Claude Crabb,DB,22,1968,0,0,1,21,11,Colorado
19,254,MIN,Tom Minter,DB,23,1962,0,0,0,3,,Baylor
19,255,RAM,Gerard Barto,T,,,0,0,0,,,Drake
19,256,DAL,Paul Holmes,T,,,0,0,0,,,Georgia
19,257,PIT,John Kuprok,E,,,0,0,0,,,Pittsburgh
19,258,STL,Don Smith,B,,,0,0,0,,,Langston
19,259,CHI,Bill Kellum,T,,,0,0,0,,,Tulane
19,260,SFO,Bob Burton,T,,,0,0,0,,,Murray St.
19,261,BAL,Fred Gillett,C,25,1964,0,0,0,2,,Los Angeles St.
19,262,DET,Jim Bernhardt,T,,,0,0,0,,,Linfield
19,263,CLE,John Anabo,QB,,,0,0,0,,,Fresno St.
19,264,PHI,Harold Ericksen,G,,,0,0,0,,,Georgia Tech
19,265,NYG,Bob Stem,C,,,0,0,0,,,Syracuse
19,266,GNB,Jerry Scattini,B,,,0,0,0,,,California
20,267,WAS,Ed Trancygier,QB,,,0,0,0,,,Florida St.
20,268,RAM,Foster Andersen,T,,,0,0,0,,,UCLA
20,269,MIN,Terry Cagaanan,B,,,0,0,0,,,Utah St.
20,270,DAL,Amos Bullocks,HB,23,1966,0,0,0,7,6,Southern Illinois
20,271,STL,Judge Dickson,B,,,0,0,0,,,Minnesota
20,272,PIT,John Knight,B,,,0,0,0,,,Valparaiso
20,273,CHI,Jack Roberts,T,,,0,0,0,,,Ohio St.
20,274,SFO,Roger McFarland,B,,,0,0,0,,,Kansas
20,275,BAL,Herm McKee,B,,,0,0,0,,,Washington St.
20,276,DET,Bob Brown,E,,,0,0,0,,,Michigan
20,277,CLE,Paul Flatley,B,,,0,0,0,,,Northwestern
20,278,NYG,Jim Moss,T,,,0,0,0,,,South Carolina
20,279,PHI,Ron Turner,E,,,0,0,0,,,Wichita St.
20,280,GNB,Mike Snodgrass,C,,,0,0,0,,,Western Michigan
